Clock frequency is approx. 2994.9 MHz
Memory mountain (MB/sec)
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
16M	5609.8	3100.1	2213.4	1643.9	1288.3	1093.4	964.1	859.9	766.8	689.8	628.0	574.8	530.3	492.1	458.6	428.8	416.2	406.0	396.0	386.8	380.0	374.2	367.2	363.4	360.8	359.6	360.6	362.4	365.6	374.2	373.3	382.0	
8M	5665.9	3194.1	2307.9	1776.0	1391.0	1186.5	1045.7	932.9	837.1	754.6	688.2	630.4	581.5	540.9	504.2	471.5	469.2	471.4	483.8	498.3	524.4	563.2	615.3	674.3	763.8	867.3	984.0	1112.5	1276.8	1498.4	1886.0	370.8	
4M	8178.7	6629.9	5437.7	5038.0	5010.6	4744.7	4409.1	4093.3	3740.2	3476.0	3262.1	3061.2	2899.5	2740.2	2604.3	2480.3	2481.3	2481.6	2479.0	2480.3	2478.3	2467.7	2475.5	2478.2	2485.1	2487.8	2494.5	2495.1	2502.2	2513.6	2523.1	2515.5	
2M	8178.2	6627.5	5439.0	5037.2	5009.7	4749.6	4406.3	4087.7	3741.9	3475.4	3259.1	3064.6	2893.4	2742.7	2604.0	2484.4	2483.0	2472.5	2478.7	2476.7	2475.5	2477.6	2477.6	2476.5	2477.7	2487.0	2495.5	2494.1	2503.0	2509.9	2523.7	2514.2	
1M	8237.3	6565.2	5481.6	5086.4	5081.9	4787.9	4441.8	4120.1	3769.1	3506.8	3285.4	3095.3	2930.5	2765.6	2626.1	2516.2	2509.1	2513.6	2509.8	2496.6	2515.6	2513.1	2504.2	2516.6	2523.0	2528.7	2531.5	2537.5	2545.8	2554.5	2556.9	2564.4	
512K	8265.2	6576.1	5485.7	5087.0	5099.7	4785.6	4449.8	4129.5	3783.1	3516.6	3290.5	3099.9	2927.6	2774.8	2626.0	2511.3	2512.8	2509.0	2503.3	2504.5	2503.1	2509.5	2516.7	2504.9	2517.4	2512.1	2538.9	2534.8	2546.9	2556.2	2548.8	2570.5	
256K	8188.4	6570.6	5478.0	5083.4	5113.1	4795.0	4425.3	4127.1	3781.6	3521.6	3290.5	3089.3	2935.2	2784.0	2631.4	2500.9	2505.5	2512.2	2503.3	2502.3	2497.8	2493.6	2498.3	2518.7	2504.7	2516.8	2520.1	2512.3	2540.4	2543.9	2546.5	2566.8	
128K	8178.5	6560.7	5473.8	5069.2	5092.2	4785.5	4437.8	4130.3	3780.0	3523.0	3315.1	3111.7	2948.1	2781.5	2629.0	2507.8	2512.8	2508.1	2511.4	2506.4	2511.2	2515.6	2501.4	2492.7	2513.5	2485.1	2508.1	2512.3	2518.8	2532.8	2544.2	2547.6	
64K	8059.1	6541.0	5453.2	5048.1	5065.6	4775.8	4431.5	4111.6	3791.6	3500.1	3320.4	3106.3	2932.6	2776.6	2629.0	2500.9	2500.6	2502.6	2495.0	2494.6	2501.7	2502.4	2501.4	2495.7	3380.5	2518.2	3192.1	2511.8	2880.1	3949.7	3318.2	2533.4	
32K	8204.6	8089.0	7987.7	7855.9	7678.1	7603.4	7524.9	7327.9	7167.2	7267.5	7180.9	7153.1	6708.5	6952.3	6988.0	6954.0	7124.8	7968.8	7548.4	7676.9	7523.3	7507.3	6968.4	7326.1	6706.4	7355.8	7207.9	7209.8	7224.8	7125.0	6636.4	6552.8	
16K	8223.2	8137.3	8076.5	7970.7	8196.4	7831.4	7709.5	7657.3	7570.3	7570.3	7507.3	7326.1	7355.8	7209.8	7125.0	7098.9	7121.1	7042.2	6829.5	6813.3	6830.4	6691.2	6581.3	6674.8	6604.8	6551.2	6504.9	6488.8	6255.9	6265.1	6274.9	6310.1	
8K	8137.3	7970.7	7764.4	7657.3	7570.3	7326.1	7209.8	7098.9	7042.2	6988.0	6691.2	6484.1	6551.2	6279.5	6265.1	6310.1	6156.1	5823.3	5975.8	5917.4	5899.0	5626.7	5150.6	5403.4	5440.6	5241.0	5306.7	5114.0	5213.3	5046.9	5167.6	5011.0	
4K	8361.9	7744.3	7446.2	7098.9	6488.8	6674.8	6279.5	6310.1	5046.9	5917.4	5626.7	5403.4	4557.4	4627.0	5046.9	4483.5	4697.8	4196.5	3974.7	4525.6	4055.5	4421.0	4556.3	4351.5	3874.3	4353.6	4187.2	4048.6	4265.4	4114.1	3993.1	4259.3	
2K	7657.3	6815.0	6133.6	5679.1	5917.4	5403.4	5114.0	5011.0	4721.1	4525.6	4421.0	4351.5	4353.6	4048.6	4114.1	4259.3	3993.1	3760.2	3560.5	3771.3	3586.4	2063.1	3702.0	3535.6	3369.2	3244.4	3119.6	3036.4	2911.7	2828.5	2745.3	3042.4	
1K	7098.9	6310.1	5403.4	4483.5	3771.3	4351.5	3737.2	4259.3	3133.5	3771.3	3438.5	3535.6	3244.4	3036.4	2828.5	3042.4	2852.2	2662.1	2519.5	2424.4	2281.8	2186.7	2091.6	1996.6	1901.5	1854.0	1368.0	1711.3	1941.1	1885.6	1830.2	1521.2	
