Clock frequency is approx. 1596.3 MHz
Memory mountain (MB/sec)
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	
16M	4009.8	3837.0	3583.8	3095.6	2739.1	2340.8	2037.2	1794.8	1601.3	1444.8	1316.4	1210.6	1118.2	1039.0	971.6	908.7	871.8	833.8	801.4	772.5	746.3	724.3	704.8	686.8	670.6	657.0	645.0	635.5	628.4	619.4	611.7	587.4	601.0	598.1	595.1	593.9	591.8	591.0	588.4	587.9	589.5	590.0	647.3	659.1	661.5	673.1	677.5	687.3	661.2	667.5	676.0	630.3	631.3	642.4	648.9	661.7	666.1	681.2	705.6	691.3	700.1	717.6	721.7	504.1	
8M	4067.8	3889.1	3687.4	3266.2	2925.3	2526.0	2224.0	1990.7	1790.2	1622.9	1481.4	1364.4	1264.0	1178.0	1098.1	1030.1	995.0	963.1	934.6	913.2	890.4	874.0	860.9	850.6	841.8	845.1	847.5	855.4	867.0	879.7	897.2	712.8	937.5	955.1	966.9	1010.1	1018.4	1062.4	1071.3	1127.3	1127.3	1169.6	1200.8	1242.6	1281.8	1308.2	1359.5	1399.9	1407.8	1432.5	1466.2	1486.8	1492.6	1543.9	1527.4	1553.0	1571.3	1573.4	1577.8	1613.1	1598.9	1614.9	1627.9	617.5	
4M	4227.9	4203.1	4187.4	4129.1	3803.2	3352.7	3058.9	3026.1	2878.4	2666.0	2449.0	2260.5	2103.5	1966.2	1846.0	1739.8	1732.0	1724.9	1716.2	1706.0	1712.4	1714.2	1717.1	1720.7	1725.8	1715.4	1717.6	1726.9	1729.1	1734.7	1736.9	1573.4	1739.2	1740.3	1733.9	1741.3	1729.3	1743.1	1738.1	1737.3	1736.8	1732.7	1730.3	1732.6	1729.1	1727.7	1728.7	1734.4	1727.0	1725.3	1733.3	1731.1	1728.7	1727.1	1724.4	1724.4	1713.8	1719.4	1718.6	1718.7	1717.5	1714.4	1713.3	1495.4	
2M	4258.2	4254.6	4311.2	4303.8	3954.9	3516.2	3202.0	3306.9	3130.0	2891.0	2648.5	2443.0	2261.9	2114.3	1984.7	1875.5	1866.5	1860.0	1853.6	1846.9	1847.0	1841.5	1835.6	1834.3	1832.1	1826.7	1825.4	1826.4	1824.2	1825.2	1823.4	1828.3	1827.7	1818.0	1818.8	1817.1	1807.6	1809.4	1808.4	1807.0	1801.0	1804.3	1805.7	1800.7	1803.2	1802.6	1800.7	1804.7	1807.0	1802.9	1802.4	1799.7	1806.2	1810.4	1807.2	1809.1	1804.2	1800.0	1806.6	1812.3	1810.5	1805.0	1808.2	1810.9	
1M	4259.4	4257.2	4329.6	4310.8	3977.3	3534.4	3210.1	3325.4	3137.8	2897.9	2661.6	2450.3	2270.2	2125.3	1992.2	1879.8	1874.9	1865.9	1857.9	1857.9	1847.2	1848.4	1848.0	1841.5	1838.9	1837.0	1833.9	1836.1	1827.6	1839.3	1838.2	1836.0	1837.3	1836.8	1834.6	1835.3	1833.1	1836.0	1834.1	1836.0	1834.9	1840.0	1839.4	1841.7	1845.6	1853.1	1844.9	1849.0	1857.5	1868.7	1866.9	1863.6	1881.6	1892.6	1888.0	1878.4	1900.0	1907.9	1896.6	1909.7	1918.6	1917.7	1939.1	1821.1	
512K	4259.0	4264.0	4315.3	4327.3	4023.9	3573.7	3271.0	3361.3	3183.4	2948.1	2711.5	2495.6	2320.4	2167.5	2032.6	1922.5	1913.6	1901.8	1901.8	1896.4	1888.3	1890.8	1885.6	1882.7	1889.8	1883.7	1887.3	1896.3	1891.4	1931.1	1972.6	1891.4	2010.8	2035.7	2034.3	2067.2	2120.6	2160.1	2135.3	2167.3	2207.7	2244.0	2329.1	2317.3	2293.7	2348.7	2403.1	2446.0	2432.9	2482.6	2508.4	2568.5	2508.9	2486.2	2651.8	2623.7	2535.0	2708.2	2831.3	2628.8	2803.2	2799.4	2825.3	1866.6	
256K	4281.5	4315.1	4304.9	4390.5	4173.3	3935.8	3766.4	3741.1	3708.4	3528.3	3286.8	3053.6	2775.8	2633.9	2484.2	2380.2	2376.9	2382.9	2380.5	2416.0	2410.1	2429.8	2466.5	2493.6	2510.9	2559.5	2632.2	2681.2	2710.2	2756.7	2738.0	2365.6	2775.7	2807.4	2786.7	2798.0	2801.9	2846.8	2801.3	2824.2	2811.4	2823.9	2837.1	2833.5	2822.9	2816.0	2842.5	2835.9	2865.3	2844.3	2843.1	2876.0	2850.3	2846.6	2836.7	2858.6	2845.5	2855.8	2846.1	2842.0	2848.6	2835.8	2860.6	2341.9	
128K	4260.5	4274.6	4308.9	4435.9	4268.3	4202.4	4168.7	4146.2	4154.3	3912.3	3701.9	3495.4	3183.2	3017.9	2857.2	2811.1	2792.1	2793.9	2797.6	2795.5	2790.7	2811.7	2786.7	2797.7	2796.8	2817.6	2809.5	2817.6	2853.5	2814.5	2814.5	2796.6	2840.0	2804.8	2840.6	2823.4	2810.2	2829.2	2823.0	2820.7	3145.4	2836.3	2848.7	2856.9	2837.9	2803.9	2849.3	2829.8	2931.7	3155.3	3351.8	2824.9	2844.2	3732.4	2962.6	2860.2	4024.1	3202.6	4047.3	4272.5	4329.4	4487.5	4312.1	2842.8	
64K	4258.6	4256.9	4328.7	4451.0	4335.5	4296.5	4326.8	4281.9	4211.2	3980.5	3776.5	3523.6	3252.6	3045.0	2886.7	2820.8	2854.3	2840.0	2843.9	2842.1	2820.2	2829.7	2831.8	2848.3	3582.2	2844.9	3459.2	2808.6	3185.6	3839.6	3515.2	2882.9	3536.5	4213.8	4232.7	4991.9	4349.4	4354.5	4190.3	4163.7	3665.1	4164.3	4151.5	4141.0	4180.3	4148.1	4136.2	4126.9	4168.5	4216.1	4152.4	4121.6	4110.5	4361.1	4151.1	4132.1	4226.2	4114.7	4101.7	4130.8	4121.3	4115.4	4109.3	2898.3	
32K	4251.3	4683.8	4238.0	4321.6	4501.2	4416.2	4250.5	4484.6	4241.3	4300.6	4510.3	4206.5	4199.1	4206.5	4262.1	4202.1	4419.7	4974.8	4728.6	4163.7	4164.3	4141.0	4148.1	4126.9	4250.4	4121.6	4137.5	4132.1	4114.7	4150.4	4197.3	4591.7	4123.8	4110.3	4127.5	4103.5	4083.1	4744.9	4113.2	4111.3	4398.1	4069.1	4081.9	4039.7	4035.1	4059.2	4060.7	4062.3	4039.2	4052.7	4034.8	4022.7	4010.3	4606.5	3990.8	4060.2	4054.4	4019.3	4027.1	4035.1	3968.6	3975.7	3990.8	4256.9	
